"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,107,128.547951,0.120852,32.209076,0.534961,755.6,59.2,3.37,0.25,07/10/2021 09:52:49,-1,210.702,16.134,296,0,0,0.0,0.0
2,-1,1,107,146.116300,0.187186,36.600232,0.534927,454.3,51.2,3.37,0.25,07/10/2021 09:52:49,-1,126.670,13.545,275,0,0,0.0,0.0
3,-1,1,107,291.456678,0.133336,72.927624,0.523855,686.9,55.4,3.29,0.15,07/10/2021 09:52:49,-1,196.343,15.077,324,0,0,0.0,0.0
4,-1,1,107,300.071821,0.070923,75.080953,0.522503,1427.1,68.1,3.29,0.15,07/10/2021 09:52:49,-1,407.909,19.435,328,0,0,0.0,0.0
5,-1,1,107,339.377379,0.165105,84.905259,0.521146,685.4,67.3,3.81,0.39,07/10/2021 09:52:49,-1,169.163,15.491,332,0,0,0.0,0.0
6,-1,1,107,349.355919,0.511158,87.399366,0.534327,202.3,52.6,3.81,0.39,07/10/2021 09:52:49,-1,49.940,12.332,332,0,0,0.0,0.0
7,-1,1,107,405.310463,0.479225,101.385036,0.528767,110.8,48.6,2.39,1.14,07/10/2021 09:52:49,-1,43.505,17.977,350,0,0,0.0,0.0
8,-1,1,107,831.226218,0.561448,207.841401,0.506833,109.9,55.2,2.44,1.33,07/10/2021 09:52:49,-1,42.345,20.153,457,0,0,0.0,0.0
9,-1,1,107,953.665351,0.669880,238.444695,0.507712,133.6,56.6,3.57,1.61,07/10/2021 09:52:49,-1,35.149,13.559,298,0,0,0.0,0.0
10,-1,1,107,1195.157311,0.757088,298.804886,0.501658,78.7,45.3,2.89,1.78,07/10/2021 09:52:49,-1,25.603,13.602,249,0,0,0.0,0.0
11,-1,1,107,1407.214176,0.325613,351.807863,0.459531,170.3,41.5,2.83,0.72,07/10/2021 09:52:49,-1,56.522,13.626,225,0,0,0.0,0.0
12,-1,1,107,1418.357063,0.657719,354.592994,0.480624,81.1,35.8,2.83,0.72,07/10/2021 09:52:49,-1,26.908,11.617,225,0,0,0.0,0.0
13,-1,1,107,1515.357019,0.523517,378.837842,0.464994,110.5,43.4,2.90,1.24,07/10/2021 09:52:49,-1,35.807,13.443,231,0,0,0.0,0.0
15,-1,1,107,1993.724373,0.643594,498.404328,0.451061,82.4,36.5,3.18,1.54,07/10/2021 09:52:49,-1,24.331,10.535,150,0,0,0.0,0.0
16,-1,1,107,2043.135059,0.696995,510.754380,0.453812,338.9,67.3,8.79,1.75,07/10/2021 09:52:49,-1,36.236,6.194,129,0,0,0.0,0.0
17,-1,1,107,2332.083638,0.359605,582.976211,0.415907,154.5,27.6,4.37,0.82,07/10/2021 09:52:49,-1,33.206,5.859,41,0,0,0.0,0.0
18,-1,1,107,2436.178870,0.276740,608.994502,0.407685,237.8,29.8,4.82,0.62,07/10/2021 09:52:49,-1,46.406,5.840,39,0,0,0.0,0.0
19,-1,1,107,2646.120479,0.012295,661.468777,0.393733,166410.0,410.2,5.14,0.01,07/10/2021 09:52:49,-1,29170.830,224.696,30,0,0,0.0,0.0
20,-1,1,107,2742.283475,0.712190,685.504429,0.428999,28.7,12.4,3.58,1.60,07/10/2021 09:52:49,-1,7.530,3.491,10,0,0,0.0,0.0
21,-1,1,107,2907.914099,0.470871,726.903307,0.402512,47.4,13.1,3.66,1.08,07/10/2021 09:52:49,-1,12.169,3.594,9,0,0,0.0,0.0
22,-1,1,107,3569.267578,0.958891,892.206625,0.440353,29.8,12.6,4.98,2.29,07/10/2021 09:52:49,-1,5.618,2.420,6,0,0,0.0,0.0
23,-1,1,107,3643.772555,0.339445,910.828920,0.377959,220.8,22.3,7.44,0.76,07/10/2021 09:52:49,-1,27.887,3.130,7,0,0,0.0,0.0
25,-1,1,107,3876.098151,0.402245,968.898006,0.379318,121.9,17.5,5.99,0.88,07/10/2021 09:52:49,-1,19.114,2.997,7,0,0,0.0,0.0
26,-1,1,107,4481.234159,0.607092,1120.149936,0.395679,110.8,18.5,8.10,1.43,07/10/2021 09:52:49,-1,12.851,2.247,5,0,0,0.0,0.0
27,-1,1,107,5842.919754,0.087852,1460.499165,0.397639,1933.4,45.7,8.24,0.16,07/10/2021 09:52:49,-1,220.435,6.329,2,0,0,0.0,0.0
28,-1,1,107,6370.735687,0.700108,1592.425174,0.454719,27.2,8.0,5.11,1.75,07/10/2021 09:52:49,-1,5.000,1.510,1,0,0,0.0,0.0
30,-1,1,107,6953.602237,0.478677,1738.110920,0.465683,28.1,5.5,5.28,1.04,07/10/2021 09:52:49,-1,5.000,1.138,0,0,0,0.0,0.0
31,-1,1,107,7058.304056,0.345599,1764.280826,0.464125,151.8,15.2,7.51,0.69,07/10/2021 09:52:49,-1,18.982,2.266,1,0,0,0.0,0.0
