"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
2,-1,1,93,291.502558,0.052942,72.939092,0.522959,2338.3,76.5,3.34,0.07,04/10/2021 12:03:32,-1,657.565,21.189,431,0,0,0.0,0.0
3,-1,1,93,300.048952,0.034701,75.075237,0.522276,4083.7,92.7,3.34,0.07,04/10/2021 12:03:32,-1,1148.409,27.234,446,0,0,0.0,0.0
4,-1,1,93,340.423183,0.374962,85.166655,0.527825,4352.7,355.0,3.81,0.49,04/10/2021 12:03:32,-1,326.953,115.041,739,0,0,0.0,0.0
5,-1,1,93,349.803555,0.399105,87.511251,0.528300,2106.4,290.8,3.81,0.49,04/10/2021 12:03:32,-1,158.222,59.039,775,0,0,0.0,0.0
6,-1,1,93,487.995427,0.003534,122.051895,0.509450,170987.9,419.3,3.30,0.01,04/10/2021 12:03:32,-1,48605.724,147.153,372,0,0,0.0,0.0
7,-1,1,93,545.556286,0.010902,136.439059,0.505615,20588.0,149.5,3.39,0.02,04/10/2021 12:03:32,-1,5697.000,51.289,124,0,0,0.0,0.0
8,-1,1,93,742.312309,0.318941,185.617636,0.499123,83.9,24.5,2.37,0.76,04/10/2021 12:03:32,-1,33.205,9.560,73,0,0,0.0,0.0
9,-1,1,93,953.778163,0.194762,238.472892,0.481767,205.2,27.9,3.10,0.45,04/10/2021 12:03:32,-1,62.156,8.461,58,0,0,0.0,0.0
10,-1,1,93,1179.980027,0.266902,295.011369,0.470259,95.4,20.4,2.68,0.62,04/10/2021 12:03:32,-1,33.386,7.434,37,0,0,0.0,0.0
11,-1,1,93,1270.937248,0.390905,317.745854,0.470386,57.3,17.9,2.74,0.91,04/10/2021 12:03:32,-1,19.616,6.495,31,0,0,0.0,0.0
12,-1,1,93,1406.711198,0.292526,351.682145,0.458167,169.9,25.0,4.42,0.69,04/10/2021 12:03:32,-1,36.120,5.605,29,0,0,0.0,0.0
15,-1,1,93,2042.678467,0.466005,510.640256,0.434949,354.1,36.8,10.98,1.11,04/10/2021 12:03:32,-1,30.300,2.953,15,0,0,0.0,0.0
16,-1,1,93,2241.336887,0.541430,560.294333,0.431749,37.9,13.6,3.32,1.28,04/10/2021 12:03:32,-1,10.747,4.163,13,0,0,0.0,0.0
17,-1,1,93,2331.979630,0.230765,582.950214,0.410159,260.6,24.0,5.54,0.53,04/10/2021 12:03:32,-1,44.181,4.601,13,0,0,0.0,0.0
18,-1,1,93,2436.392459,0.195764,609.047888,0.404734,297.1,24.3,5.20,0.43,04/10/2021 12:03:32,-1,53.713,4.969,13,0,0,0.0,0.0
19,-1,1,93,2767.190979,0.375739,691.729985,0.400638,148.4,20.6,6.01,0.87,04/10/2021 12:03:32,-1,23.205,3.465,10,0,0,0.0,0.0
21,-1,1,93,3441.073728,0.749231,860.164957,0.416144,66.5,16.7,6.69,1.76,04/10/2021 12:03:32,-1,9.332,2.364,7,0,0,0.0,0.0
22,-1,1,93,3644.236682,0.326606,910.944928,0.377245,188.4,20.4,6.57,0.73,04/10/2021 12:03:32,-1,26.931,3.286,7,0,0,0.0,0.0
23,-1,1,93,3875.085262,0.357724,968.644838,0.376530,121.5,17.7,5.29,0.81,04/10/2021 12:03:32,-1,21.555,3.453,8,0,0,0.0,0.0
24,-1,1,93,4480.982909,0.312351,1120.087137,0.373672,116.5,16.1,4.86,0.70,04/10/2021 12:03:32,-1,22.505,3.574,7,0,0,0.0,0.0
25,-1,1,93,5329.109515,0.798129,1332.073838,0.429338,25.0,9.5,4.70,2.05,04/10/2021 12:03:32,-1,5.000,2.369,3,0,0,0.0,0.0
26,-1,1,93,5513.353169,1.012371,1378.124986,0.461197,42.2,11.8,7.93,2.26,04/10/2021 12:03:32,-1,5.000,1.456,2,0,0,0.0,0.0
27,-1,1,93,5843.729674,0.250936,1460.701603,0.401986,2172.4,49.4,6.64,0.27,04/10/2021 12:03:32,-1,211.348,28.030,2,0,0,0.0,0.0
28,-1,1,93,6918.350957,0.716078,1729.299968,0.482500,31.3,8.2,5.88,1.73,04/10/2021 12:03:32,-1,5.000,1.421,1,0,0,0.0,0.0
29,-1,1,93,7059.027309,0.457475,1764.461600,0.470173,137.0,15.0,9.07,0.89,04/10/2021 12:03:32,-1,14.188,1.792,0,0,0,0.0,0.0
