"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,125,123.703063,0.007562,30.998111,0.534450,840160.8,4304.2,3.35,0.01,07/10/2021 17:52:15,-1,215500.466,1790.173,96144,0,0,0.0,0.0
2,-1,1,125,140.143367,0.007622,35.107316,0.533298,581260.1,2911.7,3.35,0.01,07/10/2021 17:52:15,-1,149092.675,1251.676,76826,0,0,0.0,0.0
3,-1,1,125,143.730791,0.014167,36.003982,0.533055,167288.6,1198.1,3.35,0.01,07/10/2021 17:52:15,-1,42909.364,406.050,68066,0,0,0.0,0.0
4,-1,1,125,149.000000,0.147968,37.321005,0.533957,8940.8,822.3,3.35,0.01,07/10/2021 17:52:15,-1,2293.316,212.959,65834,0,0,0.0,0.0
5,-1,1,125,180.863482,0.414337,45.285186,0.540465,2341.2,908.9,2.96,1.09,07/10/2021 17:52:15,-1,744.287,223.091,66210,0,0,0.0,0.0
6,-1,1,125,201.995835,0.850727,50.567155,0.570117,2722.9,1349.2,3.16,0.01,07/10/2021 17:52:15,-1,776.160,389.375,72917,0,0,0.0,0.0
7,-1,1,125,204.730026,0.500574,51.250558,0.543390,6814.9,1402.3,3.16,0.01,07/10/2021 17:52:15,-1,1942.590,415.986,74046,0,0,0.0,0.0
8,-1,1,125,207.747610,0.294668,52.004794,0.533686,8464.5,1441.1,3.16,0.01,07/10/2021 17:52:15,-1,2412.831,436.438,75328,0,0,0.0,0.0
9,-1,1,125,212.821421,0.007781,53.272977,0.528231,521910.6,13141.3,3.16,0.01,07/10/2021 17:52:15,-1,148771.745,697.892,74403,0,0,0.0,0.0
10,-1,1,125,247.466514,0.820214,61.932414,0.564379,87537.5,26229.1,3.64,0.95,07/10/2021 17:52:15,-1,4201.743,6901.124,94525,0,0,0.0,0.0
11,-1,1,125,250.974089,0.676033,62.809122,0.552079,172756.2,76180.2,3.64,0.95,07/10/2021 17:52:15,-1,8292.187,15140.072,97882,0,0,0.0,0.0
12,-1,1,125,254.494019,0.594512,63.688918,0.545953,198338.4,99429.1,3.64,0.95,07/10/2021 17:52:15,-1,9520.116,18072.476,101455,0,0,0.0,0.0
13,-1,1,125,258.176279,0.341080,64.609288,0.531963,105833.6,59936.9,3.64,0.95,07/10/2021 17:52:15,-1,5079.943,10058.773,105412,0,0,0.0,0.0
14,-1,1,125,262.966725,0.335091,65.806646,0.531399,47338.8,22102.0,3.64,0.95,07/10/2021 17:52:15,-1,2272.233,2393.530,110893,0,0,0.0,0.0
17,-1,1,125,291.493670,0.008931,72.936870,0.522797,213134.7,1316.4,3.26,0.00,07/10/2021 17:52:15,-1,60536.759,372.062,147133,0,0,0.0,0.0
18,-1,1,125,298.483831,0.086473,74.684040,0.522758,92447.3,7218.4,3.26,0.00,07/10/2021 17:52:15,-1,26257.858,2050.532,148246,0,0,0.0,0.0
19,-1,1,125,300.345431,0.022035,75.149341,0.522212,458324.9,7073.5,3.26,0.00,07/10/2021 17:52:15,-1,130178.227,2006.072,147529,0,0,0.0,0.0
20,-1,1,125,304.084364,0.036392,76.083876,0.522006,142758.5,2105.7,3.26,0.00,07/10/2021 17:52:15,-1,40547.762,596.965,146800,0,0,0.0,0.0
21,-1,1,125,307.241148,0.037941,76.872905,0.521796,158578.7,2342.6,3.26,0.00,07/10/2021 17:52:15,-1,45041.187,664.071,146690,0,0,0.0,0.0
22,-1,1,125,310.292349,0.041242,77.635543,0.521603,142378.7,2449.5,3.26,0.00,07/10/2021 17:52:15,-1,40439.896,694.520,146489,0,0,0.0,0.0
23,-1,1,125,313.334949,0.043368,78.396032,0.521405,92158.0,2297.1,3.26,0.00,07/10/2021 17:52:15,-1,26175.673,651.547,146389,0,0,0.0,0.0
24,-1,1,125,318.594532,0.002688,79.710649,0.520932,1064536.1,3015.9,3.26,0.00,07/10/2021 17:52:15,-1,302360.684,849.376,143991,0,0,0.0,0.0
25,-1,1,125,324.164911,0.000590,81.102949,0.520550,14689128.1,5033.6,3.26,0.00,07/10/2021 17:52:15,-1,4172159.928,1703.338,101961,0,0,0.0,0.0
26,-1,1,125,337.783630,0.047722,84.506907,0.519755,69226.2,2426.0,3.26,0.00,07/10/2021 17:52:15,-1,19662.356,688.889,62306,0,0,0.0,0.0
27,-1,1,125,339.903732,0.024649,85.036820,0.519510,136684.8,2406.3,3.26,0.00,07/10/2021 17:52:15,-1,38822.658,682.316,61728,0,0,0.0,0.0
28,-1,1,125,349.560931,0.020750,87.450608,0.518839,56222.7,738.5,3.26,0.00,07/10/2021 17:52:15,-1,15968.964,209.190,60312,0,0,0.0,0.0
29,-1,1,125,393.086661,0.286378,98.329733,0.520793,2035.8,604.3,2.09,0.67,07/10/2021 17:52:15,-1,913.687,253.525,67076,0,0,0.0,0.0
31,-1,1,125,641.909987,0.012529,160.522377,0.499256,317574.8,4219.5,3.60,0.02,07/10/2021 17:52:15,-1,78185.127,688.367,127259,0,0,0.0,0.0
32,-1,1,125,892.419357,0.007347,223.136443,0.483148,186180.0,783.5,3.82,0.02,07/10/2021 17:52:15,-1,45782.310,201.178,38666,0,0,0.0,0.0
34,-1,1,125,1105.077922,0.002594,276.289813,0.470007,2593931.7,2658.5,4.00,0.00,07/10/2021 17:52:15,-1,593114.690,1187.476,25601,0,0,0.0,0.0
35,-1,1,125,1210.909759,0.002203,302.742163,0.463664,6188992.7,3688.1,4.09,0.00,07/10/2021 17:52:15,-1,1385196.624,3385.086,22415,0,0,0.0,0.0
36,-1,1,125,1423.570079,0.001481,355.895972,0.451340,18772823.3,4938.0,4.26,0.00,07/10/2021 17:52:15,-1,3971399.000,6361.130,7772,0,0,0.0,0.0
37,-1,1,125,1534.864976,0.003226,383.713798,0.445127,2571057.0,2409.1,4.35,0.00,07/10/2021 17:52:15,-1,535034.227,1556.164,1285,0,0,0.0,0.0
38,-1,1,125,1547.147069,0.270856,386.783670,0.449577,1221.7,247.6,4.35,0.00,07/10/2021 17:52:15,-1,254.242,51.502,959,0,0,0.0,0.0
39,-1,1,125,1561.000000,100.025617,390.246169,25.005040,24.0,2475.1,4.35,0.00,07/10/2021 17:52:15,-1,5.000,515.055,772,0,0,0.0,0.0
40,-1,1,125,1563.417992,3500573.436169,390.850539,874957.828650,24.0,0.0,4.35,0.00,07/10/2021 17:52:15,-1,5.000,5.000,730,0,0,0.0,0.0
41,-1,1,125,1563.418032,82647.866098,390.850548,20657.586192,1017.6,0.0,4.35,0.00,07/10/2021 17:52:15,-1,211.771,211.771,730,0,0,0.0,0.0
42,-1,1,125,1568.194904,3.476911,392.044513,0.975577,145.0,171.5,4.35,0.00,07/10/2021 17:52:15,-1,30.165,35.701,640,0,0,0.0,0.0
43,-1,1,125,1636.001302,0.258449,408.992519,0.444349,305.0,57.9,2.97,0.62,07/10/2021 17:52:15,-1,96.435,17.993,389,0,0,0.0,0.0
44,-1,1,125,1747.330764,0.013584,436.818984,0.433760,31746.8,197.7,4.61,0.03,07/10/2021 17:52:15,-1,6468.677,48.440,444,0,0,0.0,0.0
45,-1,1,125,1859.216815,1.249583,464.784567,0.529862,1386.9,235.9,4.76,1.41,07/10/2021 17:52:15,-1,70.962,75.314,265,0,0,0.0,0.0
46,-1,1,125,2042.809132,0.140891,510.672916,0.420534,3372.8,117.5,9.92,0.34,07/10/2021 17:52:15,-1,319.502,10.423,254,0,0,0.0,0.0
47,-1,1,125,2174.815429,0.516525,543.667494,0.432665,123.5,42.6,3.28,1.24,07/10/2021 17:52:15,-1,35.347,11.915,196,0,0,0.0,0.0
48,-1,1,125,2316.494416,0.292839,579.079731,0.413273,470.9,48.6,5.46,0.20,07/10/2021 17:52:15,-1,81.010,8.089,168,0,0,0.0,0.0
50,-1,1,125,2331.826629,0.088754,582.911972,0.406695,1887.0,67.6,5.46,0.20,07/10/2021 17:52:15,-1,324.648,12.417,163,0,0,0.0,0.0
51,-1,1,125,2419.269917,0.257108,604.768160,0.407558,694.0,58.0,5.17,0.14,07/10/2021 17:52:15,-1,126.118,10.351,150,0,0,0.0,0.0
52,-1,1,125,2424.477853,0.534302,606.069867,0.423838,313.5,52.6,5.17,0.14,07/10/2021 17:52:15,-1,56.970,9.707,149,0,0,0.0,0.0
53,-1,1,125,2436.355226,0.065243,609.038581,0.402098,2508.9,69.1,5.17,0.14,07/10/2021 17:52:15,-1,455.943,13.966,146,0,0,0.0,0.0
54,-1,1,125,2528.287420,0.133438,632.016757,0.399530,1192.4,59.8,5.91,0.31,07/10/2021 17:52:15,-1,189.614,9.923,132,0,0,0.0,0.0
55,-1,1,125,2635.282377,0.764035,658.759826,0.437945,3246.8,90.2,5.50,0.55,07/10/2021 17:52:15,-1,247.012,210.614,128,0,0,0.0,0.0
56,-1,1,125,2744.718641,0.390254,686.113092,0.402246,393.6,52.6,6.65,0.92,07/10/2021 17:52:15,-1,55.615,6.901,113,0,0,0.0,0.0
57,-1,1,125,2848.048001,0.394032,711.939955,0.399149,4853.7,98.9,5.13,0.34,07/10/2021 17:52:15,-1,337.247,127.153,107,0,0,0.0,0.0
58,-1,1,125,2908.090242,0.232732,726.947333,0.389286,453.8,44.6,5.27,0.55,07/10/2021 17:52:15,-1,80.837,8.088,100,0,0,0.0,0.0
59,-1,1,125,2958.061335,0.132453,739.437458,0.384826,1248.1,56.7,6.56,0.31,07/10/2021 17:52:15,-1,178.875,8.751,95,0,0,0.0,0.0
60,-1,1,125,3071.378234,0.358523,767.760677,0.390583,297.2,43.0,5.57,0.87,07/10/2021 17:52:15,-1,50.097,7.122,95,0,0,0.0,0.0
61,-1,1,125,3180.379129,0.286662,795.005124,0.384063,550.0,51.0,7.04,0.68,07/10/2021 17:52:15,-1,73.400,6.451,87,0,0,0.0,0.0
62,-1,1,125,3341.701052,0.730897,835.327054,0.415883,77.7,29.2,3.87,1.18,07/10/2021 17:52:15,-1,18.855,6.750,83,0,0,0.0,0.0
63,-1,1,125,3360.646774,0.649059,840.062481,0.406949,86.5,29.5,3.87,1.18,07/10/2021 17:52:15,-1,20.985,6.810,81,0,0,0.0,0.0
64,-1,1,125,3441.231661,0.381850,860.204432,0.383684,274.2,41.2,5.72,0.91,07/10/2021 17:52:15,-1,45.033,6.485,81,0,0,0.0,0.0
65,-1,1,125,3644.233668,0.083120,910.944174,0.368892,1874.5,57.2,5.97,0.18,07/10/2021 17:52:15,-1,294.955,10.284,75,0,0,0.0,0.0
66,-1,1,125,3737.239025,0.720246,934.190584,0.408885,186.4,43.7,7.07,1.74,07/10/2021 17:52:15,-1,24.756,5.409,71,0,0,0.0,0.0
67,-1,1,125,3858.356442,0.343029,964.463519,0.375811,341.3,36.0,6.21,0.27,07/10/2021 17:52:15,-1,51.628,5.272,72,0,0,0.0,0.0
68,-1,1,125,3875.371946,0.121767,968.716493,0.367021,1151.1,49.7,6.21,0.27,07/10/2021 17:52:15,-1,174.104,8.200,70,0,0,0.0,0.0
69,-1,1,125,4480.553779,0.145100,1119.979877,0.367217,997.6,48.4,6.59,0.33,07/10/2021 17:52:15,-1,142.269,7.446,63,0,0,0.0,0.0
70,-1,1,125,4952.243466,0.364899,1237.877299,0.382534,480.8,47.6,8.46,0.88,07/10/2021 17:52:15,-1,53.419,5.130,60,0,0,0.0,0.0
71,-1,1,125,5123.599737,0.678073,1280.707285,0.411557,84.5,27.1,4.62,1.64,07/10/2021 17:52:15,-1,17.186,5.513,45,0,0,0.0,0.0
72,-1,1,125,5510.534394,0.359914,1377.420442,0.395851,373.8,34.9,8.41,0.83,07/10/2021 17:52:15,-1,41.761,4.119,28,0,0,0.0,0.0
73,-1,1,125,5606.426455,0.603044,1401.388375,0.416799,143.2,25.2,6.85,0.79,07/10/2021 17:52:15,-1,19.627,3.338,26,0,0,0.0,0.0
74,-1,1,125,5632.178744,0.392170,1407.825082,0.401600,232.8,28.6,6.85,0.79,07/10/2021 17:52:15,-1,31.921,4.006,26,0,0,0.0,0.0
75,-1,1,125,5843.947685,0.126808,1460.756094,0.398334,19382.2,145.4,6.98,0.11,07/10/2021 17:52:15,-1,1696.113,138.950,25,0,0,0.0,0.0
76,-1,1,125,5984.319395,0.906252,1495.841581,0.461953,87.2,23.1,7.67,2.16,07/10/2021 17:52:15,-1,10.675,2.738,14,0,0,0.0,0.0
77,-1,1,125,6037.612413,0.582758,1509.162011,0.430213,136.0,24.3,7.26,1.39,07/10/2021 17:52:15,-1,17.593,3.236,16,0,0,0.0,0.0
78,-1,1,125,6352.833854,0.358879,1587.950665,0.428348,284.6,27.1,7.94,0.60,07/10/2021 17:52:15,-1,33.671,3.243,15,0,0,0.0,0.0
79,-1,1,125,6370.683058,0.398843,1592.412020,0.431374,237.5,25.2,7.94,0.60,07/10/2021 17:52:15,-1,28.106,3.009,14,0,0,0.0,0.0
80,-1,1,125,6483.339449,0.575200,1620.570147,0.448810,133.5,20.9,7.60,0.87,07/10/2021 17:52:15,-1,16.495,2.581,12,0,0,0.0,0.0
81,-1,1,125,6522.814428,0.520910,1630.436799,0.446525,154.1,21.5,7.60,0.87,07/10/2021 17:52:15,-1,19.042,2.642,11,0,0,0.0,0.0
82,-1,1,125,6556.320100,1.208623,1638.811442,0.524532,54.4,17.0,7.60,0.87,07/10/2021 17:52:15,-1,6.717,2.053,11,0,0,0.0,0.0
83,-1,1,125,6645.474122,0.515874,1661.095222,0.452148,76.4,16.2,5.18,1.12,07/10/2021 17:52:15,-1,13.865,3.203,10,0,0,0.0,0.0
84,-1,1,125,6918.571921,0.377913,1729.355198,0.457936,258.5,25.1,8.52,0.85,07/10/2021 17:52:15,-1,28.500,3.015,9,0,0,0.0,0.0
85,-1,1,125,7058.556877,0.123313,1764.344017,0.457071,1374.6,41.8,8.80,0.25,07/10/2021 17:52:15,-1,146.745,5.356,8,0,0,0.0,0.0
86,-1,1,125,7390.412301,0.420034,1847.290285,0.487287,141.2,19.5,6.62,0.99,07/10/2021 17:52:15,-1,20.037,3.125,9,0,0,0.0,0.0
87,-1,1,125,7490.289338,1.180013,1872.254251,0.565128,29.4,13.7,5.46,2.76,07/10/2021 17:52:15,-1,5.049,2.497,8,0,0,0.0,0.0
88,-1,1,125,7905.277116,0.966368,1975.979201,0.563402,36.4,13.4,5.60,2.14,07/10/2021 17:52:15,-1,6.108,2.303,6,0,0,0.0,0.0
