"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,122,238.385966,0.029742,59.662759,0.526508,176446.9,498.2,3.13,0.02,07/10/2021 17:39:46,-1,50283.478,3781.852,489,0,0,0.0,0.0
2,-1,1,122,299.348082,0.267819,74.900057,0.526525,62.4,16.1,2.26,0.63,07/10/2021 17:39:46,-1,25.955,6.930,25,0,0,0.0,0.0
3,-1,1,122,369.163363,0.317030,92.350177,0.523509,44.4,14.7,2.07,0.72,07/10/2021 17:39:46,-1,20.131,7.040,26,0,0,0.0,0.0
4,-1,1,122,395.676364,0.207144,98.977022,0.518268,144.3,19.9,3.14,0.33,07/10/2021 17:39:46,-1,43.171,6.130,27,0,0,0.0,0.0
5,-1,1,122,411.553697,0.191602,102.945514,0.516823,162.4,20.7,3.14,0.33,07/10/2021 17:39:46,-1,48.605,6.366,27,0,0,0.0,0.0
6,-1,1,122,484.214939,0.408666,121.106973,0.519837,36.8,14.9,2.17,0.93,07/10/2021 17:39:46,-1,15.957,6.372,25,0,0,0.0,0.0
7,-1,1,122,953.613941,0.342456,238.431845,0.486895,73.5,15.8,3.40,0.74,07/10/2021 17:39:46,-1,20.302,4.438,13,0,0,0.0,0.0
8,-1,1,122,1407.270531,0.331463,351.821949,0.459789,59.4,12.1,3.50,0.73,07/10/2021 17:39:46,-1,15.956,3.644,5,0,0,0.0,0.0
9,-1,1,122,2331.657933,0.471461,582.869807,0.422848,53.4,11.3,4.89,1.09,07/10/2021 17:39:46,-1,10.254,2.514,3,0,0,0.0,0.0
10,-1,1,122,2437.115172,0.471995,609.228527,0.418700,82.0,13.6,6.36,1.11,07/10/2021 17:39:46,-1,12.120,2.345,3,0,0,0.0,0.0
11,-1,1,122,3644.898330,0.365971,911.110304,0.379487,47.3,9.3,4.00,0.80,07/10/2021 17:39:46,-1,11.104,2.614,1,0,0,0.0,0.0
12,-1,1,122,5843.058300,0.159339,1460.533794,0.399030,477.7,24.2,6.99,0.30,07/10/2021 17:39:46,-1,64.242,4.007,0,0,0,0.0,0.0
13,-1,1,122,7060.261842,0.602888,1764.770168,0.480376,28.3,6.9,5.32,1.23,07/10/2021 17:39:46,-1,5.000,1.491,0,0,0,0.0,0.0
