"SERIAL #,""PEAK_ID"",""EMPLOYEE_ID"",""PEAKEVAL_ID"",""POS"",""POSUNC"",""E"",""EUNC"",""AREA"",""AREAUNC"",""FWHM"",""FWHMUNC"",""CREATIONDATE"",""PEAKEVALPEAK_ID"",""HEIGHT"",""HEIGHTUNC"",""BACKGROUND"",""EFF"",""EFFUNC"",""EFF.CORR.AREA"",""EFF.CORR.AREA UNC"""
1,-1,1,79,291.494680,0.254177,72.937122,0.526638,361.0,52.5,3.46,0.28,24/09/2021 11:03:13,-1,97.995,13.373,314,0,0,0.0,0.0
2,-1,1,79,299.900411,0.130041,75.038110,0.523225,751.1,63.0,3.46,0.28,24/09/2021 11:03:13,-1,203.912,16.314,319,0,0,0.0,0.0
3,-1,1,79,349.285068,0.318546,87.381656,0.524906,157.2,47.7,2.31,0.77,24/09/2021 11:03:13,-1,63.866,18.667,340,0,0,0.0,0.0
4,-1,1,79,954.461637,0.240747,238.643724,0.483022,338.6,45.4,4.00,0.53,24/09/2021 11:03:13,-1,79.439,10.034,146,0,0,0.0,0.0
5,-1,1,79,966.842512,0.550048,241.738287,0.497848,134.8,36.2,4.00,0.53,24/09/2021 11:03:13,-1,31.629,8.073,141,0,0,0.0,0.0
6,-1,1,79,1180.681069,0.256724,295.186593,0.469864,146.1,30.2,2.68,0.60,24/09/2021 11:03:13,-1,51.127,10.737,109,0,0,0.0,0.0
7,-1,1,79,1279.856102,0.004377,319.975095,0.459606,164866.0,408.9,4.07,0.01,24/09/2021 11:03:13,-1,38025.000,116.153,94,0,0,0.0,0.0
8,-1,1,79,1351.988182,0.454171,338.004292,0.469358,143.0,30.5,4.84,1.10,24/09/2021 11:03:13,-1,27.754,5.759,46,0,0,0.0,0.0
9,-1,1,79,1407.073923,0.201872,351.772807,0.455080,362.9,33.4,4.84,0.46,24/09/2021 11:03:13,-1,70.366,6.517,43,0,0,0.0,0.0
10,-1,1,79,2042.589632,0.224306,510.618052,0.422801,867.2,47.5,9.84,0.54,24/09/2021 11:03:13,-1,82.825,4.559,27,0,0,0.0,0.0
11,-1,1,79,2255.558146,0.423928,563.848894,0.422860,84.9,20.3,3.88,1.01,24/09/2021 11:03:13,-1,20.576,5.048,24,0,0,0.0,0.0
12,-1,1,79,2331.544484,0.266451,582.841451,0.411526,288.9,28.8,5.92,0.60,24/09/2021 11:03:13,-1,45.817,4.798,23,0,0,0.0,0.0
13,-1,1,79,2436.289634,0.141207,609.022187,0.403317,448.5,28.5,4.81,0.31,24/09/2021 11:03:13,-1,87.551,6.359,20,0,0,0.0,0.0
15,-1,1,79,2908.477232,0.716514,727.044060,0.424528,83.0,22.4,6.01,1.73,24/09/2021 11:03:13,-1,12.984,3.412,18,0,0,0.0,0.0
17,-1,1,79,3442.426050,0.500013,860.502965,0.392055,60.9,16.8,3.91,1.18,24/09/2021 11:03:13,-1,14.621,4.274,17,0,0,0.0,0.0
19,-1,1,79,3643.844746,0.258181,910.846964,0.373923,336.4,28.2,6.77,0.58,24/09/2021 11:03:13,-1,46.664,4.266,16,0,0,0.0,0.0
20,-1,1,79,3736.075526,0.794332,933.899771,0.417381,56.7,18.3,5.43,1.90,24/09/2021 11:03:13,-1,9.798,3.158,13,0,0,0.0,0.0
21,-1,1,79,3857.188447,0.742403,964.171582,0.410272,63.7,16.2,5.59,0.66,24/09/2021 11:03:13,-1,10.707,2.645,13,0,0,0.0,0.0
22,-1,1,79,3875.694029,0.313132,968.796997,0.374035,181.1,21.7,5.59,0.66,24/09/2021 11:03:13,-1,30.425,3.832,13,0,0,0.0,0.0
24,-1,1,79,4481.655797,0.351117,1120.255323,0.375820,177.7,19.3,6.57,0.10,24/09/2021 11:03:13,-1,25.389,2.752,9,0,0,0.0,0.0
25,-1,1,79,4952.486791,0.559159,1237.938118,0.396926,92.6,18.0,6.25,1.25,24/09/2021 11:03:13,-1,13.912,2.778,8,0,0,0.0,0.0
26,-1,1,79,5509.973602,0.877175,1377.280273,0.443465,57.4,14.3,7.78,2.02,24/09/2021 11:03:13,-1,6.935,1.851,4,0,0,0.0,0.0
27,-1,1,79,5632.814274,0.991465,1407.983931,0.461630,29.4,11.3,5.53,2.23,24/09/2021 11:03:13,-1,5.000,1.938,4,0,0,0.0,0.0
28,-1,1,79,5843.422188,0.116981,1460.624747,0.398126,3112.9,60.2,7.16,0.17,24/09/2021 11:03:13,-1,349.924,14.189,2,0,0,0.0,0.0
29,-1,1,79,6037.296982,0.914164,1509.083170,0.464828,42.3,10.9,7.73,2.14,24/09/2021 11:03:13,-1,5.137,1.506,1,0,0,0.0,0.0
30,-1,1,79,6352.425419,0.946922,1587.848578,0.481079,46.8,12.1,7.95,2.03,24/09/2021 11:03:13,-1,5.535,1.471,2,0,0,0.0,0.0
32,-1,1,79,6522.932987,0.864210,1630.466433,0.478641,36.8,9.9,6.91,2.09,24/09/2021 11:03:13,-1,5.000,1.589,1,0,0,0.0,0.0
33,-1,1,79,6766.609654,0.640306,1691.372685,0.467985,27.8,7.5,5.22,1.37,24/09/2021 11:03:13,-1,5.000,1.618,1,0,0,0.0,0.0
34,-1,1,79,6919.252737,0.647054,1729.525366,0.476417,54.4,11.0,6.96,1.46,24/09/2021 11:03:13,-1,7.341,1.711,1,0,0,0.0,0.0
35,-1,1,79,7058.334813,0.299525,1764.288513,0.462122,217.1,17.8,8.00,0.61,24/09/2021 11:03:13,-1,25.489,2.551,1,0,0,0.0,0.0
