"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,135,282.566010,0.601903,70.705428,0.544598,931.8,227.2,3.72,0.84,18/10/2021 09:22:31,-1,42.930,18.389,543,0,0,0.0,0.0
2,-1,1,135,291.199115,0.458466,72.863247,0.535223,3470.8,296.0,3.72,0.84,18/10/2021 09:22:31,-1,159.910,69.415,568,0,0,0.0,0.0
3,-1,1,135,299.911420,0.500417,75.040861,0.536983,4373.7,485.2,3.72,0.84,18/10/2021 09:22:31,-1,201.509,90.908,594,0,0,0.0,0.0
4,-1,1,135,339.757186,0.314547,85.000191,0.525399,341.9,66.6,3.18,0.01,18/10/2021 09:22:31,-1,98.429,19.604,591,0,0,0.0,0.0
5,-1,1,135,352.295106,0.017791,88.134006,0.518646,170036.6,422.7,3.18,0.01,18/10/2021 09:22:31,-1,48951.000,1552.970,369,0,0,0.0,0.0
6,-1,1,135,953.923905,0.203166,238.509320,0.481975,323.9,34.4,4.24,0.45,18/10/2021 09:22:31,-1,71.837,7.533,64,0,0,0.0,0.0
7,-1,1,135,966.153849,0.488554,241.566158,0.493866,122.7,27.6,4.24,0.45,18/10/2021 09:22:31,-1,27.205,5.851,62,0,0,0.0,0.0
8,-1,1,135,1180.397617,0.313367,295.115745,0.472022,120.9,24.4,3.39,0.73,18/10/2021 09:22:31,-1,33.509,6.890,43,0,0,0.0,0.0
9,-1,1,135,1407.208011,0.170503,351.806322,0.454270,312.3,27.9,4.15,0.38,18/10/2021 09:22:31,-1,70.758,6.876,32,0,0,0.0,0.0
10,-1,1,135,2043.013717,0.319513,510.724051,0.426589,399.1,35.2,8.62,0.78,18/10/2021 09:22:31,-1,43.504,3.965,20,0,0,0.0,0.0
11,-1,1,135,2332.310614,0.253055,583.032943,0.410965,261.0,25.3,5.75,0.56,18/10/2021 09:22:31,-1,42.663,4.439,15,0,0,0.0,0.0
12,-1,1,135,2436.553603,0.213587,609.088165,0.405291,323.7,26.3,5.75,0.47,18/10/2021 09:22:31,-1,52.862,4.728,14,0,0,0.0,0.0
14,-1,1,135,3644.561142,0.228246,911.026025,0.372695,232.4,21.3,5.39,0.51,18/10/2021 09:22:31,-1,40.489,4.247,9,0,0,0.0,0.0
15,-1,1,135,3689.177309,0.755804,922.177703,0.413396,40.2,13.7,4.71,1.65,18/10/2021 09:22:31,-1,8.014,2.696,7,0,0,0.0,0.0
16,-1,1,135,3876.287153,0.328828,968.945247,0.374871,143.8,18.7,5.50,0.76,18/10/2021 09:22:31,-1,24.550,3.615,9,0,0,0.0,0.0
17,-1,1,135,4481.962797,0.380990,1120.332057,0.377636,132.1,18.5,5.88,0.84,18/10/2021 09:22:31,-1,21.103,3.236,8,0,0,0.0,0.0
18,-1,1,135,4952.315199,0.786178,1237.895229,0.420271,94.1,19.4,8.45,1.77,18/10/2021 09:22:31,-1,10.459,2.102,7,0,0,0.0,0.0
19,-1,1,135,5123.973271,0.843132,1280.800649,0.430200,30.9,11.3,4.89,1.86,18/10/2021 09:22:31,-1,5.948,2.240,4,0,0,0.0,0.0
20,-1,1,135,5425.200111,0.742498,1356.091394,0.425508,25.2,8.7,4.74,1.83,18/10/2021 09:22:31,-1,5.000,1.784,3,0,0,0.0,0.0
22,-1,1,135,5512.401793,0.634907,1377.887193,0.416934,35.7,10.2,4.77,1.44,18/10/2021 09:22:31,-1,7.039,2.254,3,0,0,0.0,0.0
23,-1,1,135,5844.763796,0.259166,1460.960078,0.402351,2432.1,52.4,6.84,0.27,18/10/2021 09:22:31,-1,232.218,32.204,2,0,0,0.0,0.0
24,-1,1,135,6371.781144,0.969041,1592.686483,0.484618,42.3,11.1,7.95,2.12,18/10/2021 09:22:31,-1,5.000,1.359,1,0,0,0.0,0.0
25,-1,1,135,6713.965463,0.610866,1678.214427,0.462870,27.7,6.9,5.20,1.33,18/10/2021 09:22:31,-1,5.000,1.356,1,0,0,0.0,0.0
26,-1,1,135,6920.267217,0.864849,1729.778932,0.497590,43.2,9.8,8.11,1.86,18/10/2021 09:22:31,-1,5.000,1.206,0,0,0,0.0,0.0
27,-1,1,135,7059.795533,0.375282,1764.653616,0.465647,179.2,16.7,8.80,0.73,18/10/2021 09:22:31,-1,19.135,2.074,1,0,0,0.0,0.0
