"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,74,275.897419,0.048097,69.038634,0.524003,2190.9,65.4,3.34,0.06,22/09/2021 16:38:52,-1,615.949,18.351,250,0,0,0.0,0.0
2,-1,1,74,283.489944,0.032867,70.936363,0.523407,3646.1,77.1,3.34,0.06,22/09/2021 16:38:52,-1,1025.045,23.311,249,0,0,0.0,0.0
3,-1,1,74,291.233446,0.241144,72.871828,0.526273,382.7,45.9,3.34,0.06,22/09/2021 16:38:52,-1,107.584,12.745,248,0,0,0.0,0.0
4,-1,1,74,295.244563,1.754260,73.874394,0.682129,53.1,40.8,3.34,0.06,22/09/2021 16:38:52,-1,14.927,11.461,247,0,0,0.0,0.0
5,-1,1,74,300.093340,0.125161,75.086332,0.523137,707.9,48.1,3.34,0.06,22/09/2021 16:38:52,-1,199.031,13.272,246,0,0,0.0,0.0
6,-1,1,74,320.671789,0.078694,80.229853,0.521160,1164.5,52.4,3.34,0.06,22/09/2021 16:38:52,-1,327.377,14.548,243,0,0,0.0,0.0
7,-1,1,74,330.111784,0.213565,82.589352,0.522875,356.8,42.3,3.34,0.06,22/09/2021 16:38:52,-1,100.299,11.777,241,0,0,0.0,0.0
8,-1,1,74,338.991844,0.232308,84.808896,0.522770,331.5,41.9,3.34,0.06,22/09/2021 16:38:52,-1,93.209,11.702,239,0,0,0.0,0.0
9,-1,1,74,350.253428,0.519050,87.623695,0.534743,137.1,39.9,3.34,0.06,22/09/2021 16:38:52,-1,38.542,11.181,238,0,0,0.0,0.0
10,-1,1,74,635.587765,0.476946,158.942157,0.513685,251.8,70.6,3.91,1.15,22/09/2021 16:38:52,-1,60.513,15.413,405,0,0,0.0,0.0
11,-1,1,74,1013.965829,0.693752,253.516619,0.506199,144.8,58.5,3.87,1.66,22/09/2021 16:38:52,-1,35.124,12.920,293,0,0,0.0,0.0
12,-1,1,74,1404.962347,0.742460,351.245025,0.488978,72.6,28.2,4.27,1.74,22/09/2021 16:38:52,-1,15.992,5.799,51,0,0,0.0,0.0
13,-1,1,74,1646.694249,0.010798,411.665189,0.439064,165699.4,409.2,4.35,0.01,22/09/2021 16:38:52,-1,34957.000,293.944,32,0,0,0.0,0.0
14,-1,1,74,2331.338083,0.421585,582.789861,0.419558,66.4,12.3,4.95,0.95,22/09/2021 16:38:52,-1,12.604,2.676,3,0,0,0.0,0.0
15,-1,1,74,2437.154235,0.382772,609.238291,0.412970,92.3,14.7,5.19,0.82,22/09/2021 16:38:52,-1,16.712,2.862,4,0,0,0.0,0.0
16,-1,1,74,2703.053876,0.080433,675.699109,0.392203,973.0,32.8,5.29,0.16,22/09/2021 16:38:52,-1,172.870,7.170,2,0,0,0.0,0.0
17,-1,1,74,2907.665543,0.683903,726.841181,0.421177,19.5,7.9,3.66,1.36,22/09/2021 16:38:52,-1,5.000,2.196,2,0,0,0.0,0.0
18,-1,1,74,3644.126526,0.617699,910.917394,0.399359,68.1,12.6,7.40,1.42,22/09/2021 16:38:52,-1,8.641,1.824,1,0,0,0.0,0.0
19,-1,1,74,3874.797767,0.869580,968.572979,0.425467,33.9,10.1,6.37,1.95,22/09/2021 16:38:52,-1,5.000,1.611,1,0,0,0.0,0.0
20,-1,1,74,4350.785317,0.274064,1087.544639,0.371094,147.9,15.0,5.96,0.59,22/09/2021 16:38:52,-1,23.325,2.930,1,0,0,0.0,0.0
21,-1,1,74,4462.228061,0.414145,1115.399419,0.379680,49.9,9.8,4.36,0.71,22/09/2021 16:38:52,-1,10.747,2.302,1,0,0,0.0,0.0
22,-1,1,74,4480.346464,0.537235,1119.928059,0.389311,31.3,8.3,4.36,0.71,22/09/2021 16:38:52,-1,6.752,1.918,1,0,0,0.0,0.0
23,-1,1,74,5510.672307,0.651574,1377.454913,0.418488,25.4,7.0,4.77,1.32,22/09/2021 16:38:52,-1,5.000,1.469,0,0,0,0.0,0.0
24,-1,1,74,5843.508773,0.158735,1460.646389,0.399032,566.9,26.3,7.68,0.31,22/09/2021 16:38:52,-1,69.390,3.994,0,0,0,0.0,0.0
25,-1,1,74,7059.817592,0.773121,1764.659129,0.495350,40.2,8.4,7.56,1.60,22/09/2021 16:38:52,-1,5.000,1.062,0,0,0,0.0,0.0
