"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,104,291.464827,0.190382,72.929661,0.524955,558.7,64.0,3.36,0.20,04/10/2021 14:00:45,-1,156.202,17.015,482,0,0,0.0,0.0
2,-1,1,104,299.831310,0.089544,75.020838,0.522698,1334.0,79.6,3.36,0.20,04/10/2021 14:00:45,-1,372.973,21.206,492,0,0,0.0,0.0
3,-1,1,104,339.213512,0.186659,84.864301,0.521611,721.5,77.9,3.80,0.40,04/10/2021 14:00:45,-1,178.564,17.996,513,0,0,0.0,0.0
4,-1,1,104,348.854328,0.568874,87.273994,0.537992,222.3,62.6,3.80,0.40,04/10/2021 14:00:45,-1,55.007,14.839,516,0,0,0.0,0.0
5,-1,1,104,370.235427,0.368759,92.618136,0.525550,350.6,68.1,3.80,0.40,04/10/2021 14:00:45,-1,86.776,16.078,524,0,0,0.0,0.0
6,-1,1,104,953.743498,0.166512,238.464228,0.481107,701.3,71.4,3.66,0.40,04/10/2021 14:00:45,-1,180.017,17.698,413,0,0,0.0,0.0
7,-1,1,104,1180.420253,0.325341,295.121403,0.472527,366.3,63.9,4.25,0.78,04/10/2021 14:00:45,-1,80.957,13.193,296,0,0,0.0,0.0
8,-1,1,104,1406.769369,0.166271,351.696685,0.454197,771.2,63.7,4.52,0.39,04/10/2021 14:00:45,-1,160.357,12.882,241,0,0,0.0,0.0
9,-1,1,104,2043.234096,0.045345,510.779134,0.419190,17215.6,161.7,11.27,0.10,04/10/2021 14:00:45,-1,1434.586,15.198,168,0,0,0.0,0.0
10,-1,1,104,2332.142203,0.222838,582.990849,0.409878,626.4,56.2,5.60,0.53,04/10/2021 14:00:45,-1,105.069,9.346,152,0,0,0.0,0.0
11,-1,1,104,2436.490062,0.179747,609.072283,0.404266,882.2,60.8,5.89,0.43,04/10/2021 14:00:45,-1,140.685,9.734,156,0,0,0.0,0.0
12,-1,1,104,3143.726118,0.821478,785.843814,0.430383,112.8,41.0,4.23,0.97,04/10/2021 14:00:45,-1,25.051,8.741,192,0,0,0.0,0.0
13,-1,1,104,3179.521951,0.464645,794.790875,0.394810,202.8,46.5,4.23,0.97,04/10/2021 14:00:45,-1,45.013,9.993,192,0,0,0.0,0.0
14,-1,1,104,3643.812437,0.403925,910.838889,0.381899,348.1,60.6,5.19,0.98,04/10/2021 14:00:45,-1,62.966,10.499,226,0,0,0.0,0.0
15,-1,1,104,3857.203731,0.972784,964.175402,0.439328,181.7,47.4,7.61,0.97,04/10/2021 14:00:45,-1,22.424,5.466,120,0,0,0.0,0.0
16,-1,1,104,3874.801301,0.432382,968.573862,0.381394,425.1,55.4,7.61,0.97,04/10/2021 14:00:45,-1,52.458,6.274,113,0,0,0.0,0.0
17,-1,1,104,4409.888832,0.790887,1102.317385,0.415080,64.5,26.2,4.33,1.85,04/10/2021 14:00:45,-1,13.993,5.410,43,0,0,0.0,0.0
18,-1,1,104,4462.007716,0.017775,1115.344344,0.365322,170219.1,421.9,6.27,0.02,04/10/2021 14:00:45,-1,23724.636,234.622,39,0,0,0.0,0.0
19,-1,1,104,4480.507803,0.246936,1119.968385,0.370597,349.8,30.9,6.27,0.02,04/10/2021 14:00:45,-1,48.760,4.320,20,0,0,0.0,0.0
20,-1,1,104,4952.135576,0.375905,1237.850332,0.383197,176.1,24.4,5.86,0.85,04/10/2021 14:00:45,-1,28.208,4.076,19,0,0,0.0,0.0
21,-1,1,104,5511.325064,0.490900,1377.618067,0.404573,108.6,18.1,6.35,1.11,04/10/2021 14:00:45,-1,16.086,2.890,8,0,0,0.0,0.0
23,-1,1,104,5702.356173,1.085875,1425.365720,0.476689,25.7,12.3,4.84,2.30,04/10/2021 14:00:45,-1,5.000,2.466,7,0,0,0.0,0.0
24,-1,1,104,5843.153013,0.057472,1460.557468,0.397301,6836.6,88.5,7.36,0.10,04/10/2021 14:00:45,-1,770.112,13.912,4,0,0,0.0,0.0
25,-1,1,104,6037.254996,0.670866,1509.072676,0.438146,56.2,13.6,6.07,1.62,04/10/2021 14:00:45,-1,8.695,2.329,4,0,0,0.0,0.0
26,-1,1,104,6352.548900,0.370099,1587.879442,0.428931,99.2,14.2,5.59,0.69,04/10/2021 14:00:45,-1,16.659,2.677,4,0,0,0.0,0.0
27,-1,1,104,6370.974725,0.502240,1592.484921,0.438082,69.7,12.5,5.59,0.69,04/10/2021 14:00:45,-1,11.697,2.159,3,0,0,0.0,0.0
28,-1,1,104,6482.329492,0.594359,1620.317711,0.450320,44.7,11.2,5.12,1.24,04/10/2021 14:00:45,-1,8.204,2.336,3,0,0,0.0,0.0
29,-1,1,104,6919.315971,0.661420,1729.541171,0.477652,79.2,14.5,7.88,1.50,04/10/2021 14:00:45,-1,9.441,1.909,3,0,0,0.0,0.0
30,-1,1,104,7058.266786,0.199688,1764.271510,0.458737,468.1,25.4,8.10,0.40,04/10/2021 14:00:45,-1,54.324,3.571,2,0,0,0.0,0.0
31,-1,1,104,7390.194903,0.535893,1847.235947,0.494322,49.5,10.7,5.43,1.25,04/10/2021 14:00:45,-1,8.574,2.296,2,0,0,0.0,0.0
