"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,247,275.796994,0.269958,69.013533,0.528200,2523.5,297.0,3.77,0.12,18/02/2022 09:02:02,-1,462.001,53.651,8142,0,0,0.0,0.0
2,-1,1,247,283.603848,0.238339,70.964833,0.526714,2829.5,328.4,3.77,0.12,18/02/2022 09:02:02,-1,518.030,62.364,8093,0,0,0.0,0.0
3,-1,1,247,291.820537,0.082148,73.018569,0.523172,9652.8,343.9,3.77,0.12,18/02/2022 09:02:02,-1,1767.246,89.347,8046,0,0,0.0,0.0
4,-1,1,247,300.478548,0.081012,75.182613,0.522567,18711.0,1034.0,3.77,0.12,18/02/2022 09:02:02,-1,3425.616,203.748,7999,0,0,0.0,0.0
5,-1,1,247,310.033699,0.309678,77.570895,0.527231,2091.0,369.0,3.77,0.12,18/02/2022 09:02:02,-1,382.827,64.593,7953,0,0,0.0,0.0
6,-1,1,247,322.515058,0.495432,80.690573,0.535186,1307.0,320.5,3.77,0.12,18/02/2022 09:02:02,-1,239.282,56.119,7901,0,0,0.0,0.0
7,-1,1,247,339.762190,0.104491,85.001442,0.520139,8516.2,527.3,3.77,0.12,18/02/2022 09:02:02,-1,1559.147,99.277,7843,0,0,0.0,0.0
8,-1,1,247,349.963317,0.192437,87.551183,0.521011,3592.9,372.5,3.77,0.12,18/02/2022 09:02:02,-1,657.792,66.205,7816,0,0,0.0,0.0
9,-1,1,247,369.292851,0.192732,92.382542,0.519706,3529.4,349.3,3.77,0.12,18/02/2022 09:02:02,-1,646.161,65.042,7781,0,0,0.0,0.0
10,-1,1,247,413.303515,0.273095,103.382875,0.518989,1766.4,297.2,3.76,0.67,18/02/2022 09:02:02,-1,441.222,66.741,7762,0,0,0.0,0.0
11,-1,1,247,885.757151,0.083202,221.471244,0.484011,7567.6,420.5,4.13,0.22,18/02/2022 09:02:02,-1,1720.323,75.644,9366,0,0,0.0,0.0
12,-1,1,247,939.870636,0.580929,234.996747,0.501643,1195.6,350.6,4.68,1.44,18/02/2022 09:02:02,-1,240.190,61.827,8448,0,0,0.0,0.0
13,-1,1,247,1094.082232,0.238435,273.541473,0.474431,2434.0,377.9,4.53,0.65,18/02/2022 09:02:02,-1,504.892,58.327,6350,0,0,0.0,0.0
14,-1,1,247,1250.650740,0.212733,312.675302,0.464371,3096.5,302.5,5.07,0.52,18/02/2022 09:02:02,-1,573.804,50.464,5774,0,0,0.0,0.0
15,-1,1,247,1386.349349,0.067983,346.592762,0.453773,8775.9,287.5,4.72,0.16,18/02/2022 09:02:02,-1,1746.653,53.953,5261,0,0,0.0,0.0
16,-1,1,247,1583.217382,0.564828,395.799337,0.464456,444.2,166.5,2.94,0.79,18/02/2022 09:02:02,-1,141.936,50.031,4503,0,0,0.0,0.0
17,-1,1,247,1594.991432,0.534229,398.742225,0.461576,467.1,167.9,2.94,0.79,18/02/2022 09:02:02,-1,149.254,49.930,4470,0,0,0.0,0.0
18,-1,1,247,1607.551123,0.523470,401.881482,0.460154,476.0,172.2,2.94,0.79,18/02/2022 09:02:02,-1,152.103,50.674,4435,0,0,0.0,0.0
19,-1,1,247,1647.092780,0.024464,411.764801,0.439077,96428.1,639.3,4.63,0.04,18/02/2022 09:02:02,-1,16239.208,255.713,4360,0,0,0.0,0.0
20,-1,1,247,1754.561559,0.329779,438.626300,0.441140,919.9,193.4,3.42,0.77,18/02/2022 09:02:02,-1,252.588,49.682,4088,0,0,0.0,0.0
21,-1,1,247,1774.663759,1.058546,443.650784,0.506866,281.4,157.6,3.42,0.77,18/02/2022 09:02:02,-1,77.267,42.159,4017,0,0,0.0,0.0
22,-1,1,247,1918.970392,0.617934,479.719794,0.452237,412.2,178.6,3.14,1.49,18/02/2022 09:02:02,-1,123.399,50.199,3791,0,0,0.0,0.0
23,-1,1,247,2030.519429,0.666637,507.601141,0.451510,800.5,592.9,3.81,1.85,18/02/2022 09:02:02,-1,158.940,65.565,3703,0,0,0.0,0.0
24,-1,1,247,2043.540390,0.117452,510.855692,0.420049,191629.0,1163.1,9.75,0.24,18/02/2022 09:02:02,-1,11420.784,1357.602,3673,0,0,0.0,0.0
25,-1,1,247,2184.360417,1.507155,546.053235,0.558646,378.6,205.0,5.09,0.03,18/02/2022 09:02:02,-1,59.057,31.992,3514,0,0,0.0,0.0
26,-1,1,247,2217.201643,0.018191,554.261801,0.411083,129607.3,556.1,5.09,0.03,18/02/2022 09:02:02,-1,20219.565,192.229,3502,0,0,0.0,0.0
27,-1,1,247,2236.308143,0.038894,559.037413,0.410328,19175.7,255.2,5.09,0.03,18/02/2022 09:02:02,-1,2991.539,46.843,3489,0,0,0.0,0.0
28,-1,1,247,2255.966451,0.070994,563.950948,0.409735,9056.8,220.7,5.09,0.03,18/02/2022 09:02:02,-1,1412.913,36.298,3472,0,0,0.0,0.0
29,-1,1,247,2425.374203,0.397303,606.293907,0.414289,1523.8,243.4,5.77,0.98,18/02/2022 09:02:02,-1,248.112,35.649,3352,0,0,0.0,0.0
30,-1,1,247,2476.295388,0.031645,619.021505,0.400248,71836.7,509.1,5.31,0.05,18/02/2022 09:02:02,-1,10716.534,184.260,3306,0,0,0.0,0.0
31,-1,1,247,2628.076800,0.226132,656.958813,0.398409,2861.8,308.6,6.06,0.61,18/02/2022 09:02:02,-1,443.537,36.382,3201,0,0,0.0,0.0
32,-1,1,247,2793.391790,0.050839,698.278799,0.388803,41711.4,473.7,5.51,0.08,18/02/2022 09:02:02,-1,6026.594,163.924,3234,0,0,0.0,0.0
33,-1,1,247,3106.054719,0.027697,776.427961,0.379294,117646.0,596.7,5.69,0.04,18/02/2022 09:02:02,-1,16177.506,245.770,3335,0,0,0.0,0.0
