"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,137,186.260159,0.149796,46.634070,0.531395,2038.1,208.5,3.40,0.37,19/10/2021 17:15:44,-1,563.536,52.434,4049,0,0,0.0,0.0
2,-1,1,137,253.450457,0.100315,63.428083,0.526012,3041.5,229.2,3.01,0.24,19/10/2021 17:15:44,-1,949.080,66.810,5759,0,0,0.0,0.0
3,-1,1,137,291.313216,0.050453,72.891766,0.522956,8890.1,252.0,3.57,0.05,19/10/2021 17:15:44,-1,2338.885,62.139,6873,0,0,0.0,0.0
4,-1,1,137,299.921457,0.026055,75.043370,0.522253,18669.5,301.0,3.57,0.05,19/10/2021 17:15:44,-1,4911.718,75.379,7037,0,0,0.0,0.0
5,-1,1,137,308.533228,0.089332,77.195856,0.522099,4951.3,241.0,3.57,0.05,19/10/2021 17:15:44,-1,1302.632,60.563,7201,0,0,0.0,0.0
6,-1,1,137,339.756077,0.408287,84.999914,0.529412,10410.1,453.6,3.82,0.34,19/10/2021 17:15:44,-1,1256.925,688.967,7677,0,0,0.0,0.0
7,-1,1,137,349.674759,0.412405,87.479059,0.528947,5955.8,383.5,3.82,0.34,19/10/2021 17:15:44,-1,719.105,400.295,7791,0,0,0.0,0.0
8,-1,1,137,360.354722,0.636959,90.148483,0.541988,1669.3,285.4,3.82,0.34,19/10/2021 17:15:44,-1,201.549,111.370,7914,0,0,0.0,0.0
9,-1,1,137,371.194918,0.401455,92.857958,0.526980,8239.9,430.5,3.82,0.34,19/10/2021 17:15:44,-1,994.893,550.044,8039,0,0,0.0,0.0
10,-1,1,137,515.876577,0.353633,129.020704,0.515223,871.1,253.1,2.76,0.86,19/10/2021 17:15:44,-1,296.985,79.194,8179,0,0,0.0,0.0
