"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,242,166.848099,0.348069,41.782083,0.538502,2946.4,885.5,3.31,0.93,17/02/2022 08:56:22,-1,837.284,190.321,52789,0,0,0.0,0.0
2,-1,1,242,292.218943,0.081798,73.118150,0.523142,92313.2,1245.0,3.73,0.11,17/02/2022 08:56:22,-1,12650.531,1565.689,54325,0,0,0.0,0.0
3,-1,1,242,300.854002,0.080889,75.276457,0.522540,170979.0,2544.9,3.73,0.11,17/02/2022 08:56:22,-1,23430.814,2931.164,52535,0,0,0.0,0.0
4,-1,1,242,309.807186,0.352570,77.514278,0.528927,7713.9,1309.8,3.73,0.11,17/02/2022 08:56:22,-1,1057.102,136.781,51533,0,0,0.0,0.0
5,-1,1,242,340.163960,0.217049,85.101863,0.522281,88812.5,2274.2,3.82,0.40,17/02/2022 08:56:22,-1,6829.495,3536.281,52380,0,0,0.0,0.0
6,-1,1,242,350.476850,0.256351,87.679539,0.522693,34432.4,1147.5,3.82,0.40,17/02/2022 08:56:22,-1,2647.778,1340.014,51569,0,0,0.0,0.0
7,-1,1,242,369.778174,0.227032,92.503847,0.520538,25378.7,1278.0,3.82,0.40,17/02/2022 08:56:22,-1,1951.566,1034.320,51980,0,0,0.0,0.0
8,-1,1,242,413.573532,0.099503,103.450365,0.515063,13173.9,826.8,3.85,0.25,17/02/2022 08:56:22,-1,3217.565,175.124,53667,0,0,0.0,0.0
9,-1,1,242,478.174815,0.478965,119.597262,0.523968,1154.0,493.9,2.16,0.63,17/02/2022 08:56:22,-1,500.961,201.238,54950,0,0,0.0,0.0
10,-1,1,242,487.269239,0.297779,121.870386,0.514906,1857.5,558.5,2.16,0.63,17/02/2022 08:56:22,-1,806.368,219.719,55334,0,0,0.0,0.0
11,-1,1,242,886.274414,0.086213,221.600533,0.484012,62559.4,3667.5,4.26,0.15,17/02/2022 08:56:22,-1,9964.545,595.315,65340,0,0,0.0,0.0
12,-1,1,242,1094.189244,0.106717,273.568221,0.471422,15269.8,802.2,4.75,0.26,17/02/2022 08:56:22,-1,3017.159,141.164,43394,0,0,0.0,0.0
13,-1,1,242,1251.247612,0.071999,312.824488,0.461633,23249.2,772.8,5.07,0.18,17/02/2022 08:56:22,-1,4307.772,128.698,36997,0,0,0.0,0.0
14,-1,1,242,1345.188522,0.200817,336.304737,0.458570,4267.1,663.0,3.33,0.52,17/02/2022 08:56:22,-1,1203.150,153.654,35818,0,0,0.0,0.0
15,-1,1,242,1387.166381,0.143128,346.796977,0.454817,47441.2,1456.1,4.53,0.19,17/02/2022 08:56:22,-1,6272.979,714.895,34373,0,0,0.0,0.0
16,-1,1,242,1647.566074,0.183069,411.883099,0.441387,9021.2,699.1,5.53,0.45,17/02/2022 08:56:22,-1,1531.608,105.384,28501,0,0,0.0,0.0
17,-1,1,242,1754.836058,0.056343,438.694910,0.433586,83433.6,2254.9,5.26,0.09,17/02/2022 08:56:22,-1,11140.043,342.784,26538,0,0,0.0,0.0
18,-1,1,242,1947.638685,0.302039,486.885348,0.430311,5435.9,669.2,5.86,0.75,17/02/2022 08:56:22,-1,871.589,93.660,23984,0,0,0.0,0.0
19,-1,1,242,2015.999999,1.326607,503.972053,0.535374,8206.7,2195.2,12.75,2.99,17/02/2022 08:56:22,-1,604.485,74.051,23314,0,0,0.0,0.0
20,-1,1,242,2034.000000,0.608534,508.471100,0.446199,181195.1,22236.4,12.70,0.78,17/02/2022 08:56:22,-1,13403.291,853.744,23046,0,0,0.0,0.0
21,-1,1,242,2043.769209,0.044604,510.912884,0.419160,1662717.2,22199.6,10.93,0.06,17/02/2022 08:56:22,-1,142855.184,1192.953,22880,0,0,0.0,0.0
22,-1,1,242,2055.968606,0.321357,513.962087,0.426075,17968.1,5150.4,5.90,0.76,17/02/2022 08:56:22,-1,2862.133,495.538,22653,0,0,0.0,0.0
23,-1,1,242,2062.257569,2.732853,515.533994,0.800889,6957.8,4673.7,8.87,3.90,17/02/2022 08:56:22,-1,737.126,204.866,22527,0,0,0.0,0.0
24,-1,1,242,2110.056411,0.493359,527.481171,0.433806,1599.1,470.1,3.74,1.20,17/02/2022 08:56:22,-1,401.766,109.458,21656,0,0,0.0,0.0
25,-1,1,242,2217.648736,0.007546,554.373550,0.411042,1020799.7,1852.7,5.40,0.01,17/02/2022 08:56:22,-1,129408.418,479.599,21297,0,0,0.0,0.0
26,-1,1,242,2236.709437,0.009152,559.137715,0.410202,391657.6,1263.8,5.40,0.01,17/02/2022 08:56:22,-1,49651.058,220.774,21260,0,0,0.0,0.0
27,-1,1,242,2253.096117,0.200099,563.233517,0.412520,8633.3,610.4,5.40,0.01,17/02/2022 08:56:22,-1,1094.460,77.107,21062,0,0,0.0,0.0
28,-1,1,242,2425.067483,0.114024,606.217244,0.403233,14864.3,623.8,6.34,0.28,17/02/2022 08:56:22,-1,2201.791,83.017,19346,0,0,0.0,0.0
29,-1,1,242,2476.780451,0.014195,619.142745,0.400166,571472.3,1533.7,5.52,0.02,17/02/2022 08:56:22,-1,68959.729,547.369,19173,0,0,0.0,0.0
30,-1,1,242,2628.578662,0.116496,657.084252,0.395435,47612.5,1291.6,5.77,0.17,17/02/2022 08:56:22,-1,5901.963,401.734,18290,0,0,0.0,0.0
31,-1,1,242,2661.165004,0.538176,665.229111,0.415551,3191.1,503.8,5.77,0.17,17/02/2022 08:56:22,-1,395.566,67.566,18181,0,0,0.0,0.0
32,-1,1,242,2793.882205,0.021277,698.401377,0.388616,339375.7,1205.7,5.71,0.03,17/02/2022 08:56:22,-1,39467.885,455.148,17990,0,0,0.0,0.0
33,-1,1,242,3023.873933,0.756011,755.887119,0.425721,942.8,421.9,3.72,1.83,17/02/2022 08:56:22,-1,238.280,100.018,18107,0,0,0.0,0.0
34,-1,1,242,3106.524796,0.011289,776.545455,0.379229,937772.0,1902.9,5.93,0.02,17/02/2022 08:56:22,-1,104832.149,630.626,18570,0,0,0.0,0.0
35,-1,1,242,3311.784831,0.029497,827.849585,0.374325,261755.8,1276.9,6.10,0.04,17/02/2022 08:56:22,-1,28996.904,447.471,18978,0,0,0.0,0.0
36,-1,1,242,3337.999999,3.595959,834.401987,0.973388,532.3,559.7,6.10,0.04,17/02/2022 08:56:22,-1,58.966,62.026,19065,0,0,0.0,0.0
37,-1,1,242,3365.540965,1.013961,841.285769,0.451047,1901.7,529.8,6.10,0.04,17/02/2022 08:56:22,-1,210.666,58.750,19112,0,0,0.0,0.0
38,-1,1,242,3430.348021,1.011067,857.484098,0.449579,55169.0,3193.3,7.26,0.82,17/02/2022 08:56:22,-1,2353.246,1899.926,19323,0,0,0.0,0.0
39,-1,1,242,3435.451713,1.058953,858.759751,0.456335,38835.5,2960.7,7.26,0.82,17/02/2022 08:56:22,-1,1656.539,1361.984,19357,0,0,0.0,0.0
40,-1,1,242,4030.610102,0.212277,1007.517805,0.368630,11944.1,910.4,7.76,0.56,17/02/2022 08:56:22,-1,1445.520,82.762,24216,0,0,0.0,0.0
41,-1,1,242,4056.279123,0.770851,1013.933700,0.412458,3281.8,716.2,7.76,0.56,17/02/2022 08:56:22,-1,397.172,78.435,24655,0,0,0.0,0.0
42,-1,1,242,4176.742947,0.049602,1044.043271,0.364648,250371.1,1403.8,6.53,0.06,17/02/2022 08:56:22,-1,24248.549,689.139,26861,0,0,0.0,0.0
43,-1,1,242,4325.745842,0.438277,1081.286098,0.380729,5682.6,810.7,7.15,1.08,17/02/2022 08:56:22,-1,746.804,94.903,30611,0,0,0.0,0.0
44,-1,1,242,4462.667603,0.137111,1115.509281,0.366904,19673.0,873.9,7.14,0.34,17/02/2022 08:56:22,-1,2587.017,103.692,35110,0,0,0.0,0.0
47,-1,1,242,4693.220670,0.525182,1173.135328,0.390228,5155.7,993.4,8.26,1.44,17/02/2022 08:56:22,-1,586.158,81.673,23330,0,0,0.0,0.0
48,-1,1,242,4852.161182,0.295799,1212.862033,0.377077,7586.8,536.3,7.78,0.26,17/02/2022 08:56:22,-1,916.349,62.675,17974,0,0,0.0,0.0
49,-1,1,242,4865.390699,0.129100,1216.168711,0.371379,17100.8,627.5,7.78,0.26,17/02/2022 08:56:22,-1,2065.461,68.338,17465,0,0,0.0,0.0
