"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,13,275.769280,0.041589,69.006606,0.523977,4890.6,138.6,3.35,0.03,16/07/2021 08:47:41,-1,1369.433,36.098,1333,0,0,0.0,0.0
2,-1,1,13,283.455351,0.027108,70.927716,0.523389,8438.4,148.9,3.35,0.03,16/07/2021 08:47:41,-1,2362.843,39.066,1278,0,0,0.0,0.0
3,-1,1,13,291.430593,0.034974,72.921104,0.522869,5886.2,125.9,3.35,0.03,16/07/2021 08:47:41,-1,1648.198,33.439,1218,0,0,0.0,0.0
4,-1,1,13,300.043599,0.022087,75.073899,0.522233,11270.9,146.0,3.35,0.03,16/07/2021 08:47:41,-1,3155.978,43.152,1141,0,0,0.0,0.0
5,-1,1,13,320.714794,0.070009,80.240602,0.521080,3092.6,137.5,3.79,0.11,16/07/2021 08:47:41,-1,766.253,27.688,1152,0,0,0.0,0.0
6,-1,1,13,330.514478,0.200351,82.690004,0.522520,974.0,123.7,3.79,0.11,16/07/2021 08:47:41,-1,241.334,27.506,1166,0,0,0.0,0.0
7,-1,1,13,339.281473,0.048281,84.881288,0.519656,4773.7,169.2,3.79,0.11,16/07/2021 08:47:41,-1,1182.784,31.703,1167,0,0,0.0,0.0
8,-1,1,13,349.633575,0.134780,87.468765,0.519901,1485.6,117.9,3.79,0.11,16/07/2021 08:47:41,-1,368.100,25.618,1156,0,0,0.0,0.0
9,-1,1,13,954.548875,0.303140,238.665529,0.485206,344.0,90.5,2.53,0.73,16/07/2021 08:47:41,-1,127.930,31.908,1165,0,0,0.0,0.0
10,-1,1,13,1406.928534,0.467568,351.736468,0.467138,188.4,58.2,3.34,1.11,16/07/2021 08:47:41,-1,53.049,15.434,351,0,0,0.0,0.0
11,-1,1,13,1634.828220,0.627056,408.699311,0.466790,266.7,70.4,4.35,0.01,16/07/2021 08:47:41,-1,55.814,14.613,413,0,0,0.0,0.0
12,-1,1,13,1646.847208,0.009210,411.703421,0.439054,560051.7,756.5,4.35,0.01,16/07/2021 08:47:41,-1,117220.336,1087.266,225,0,0,0.0,0.0
14,-1,1,13,2043.347727,0.342225,510.807536,0.427673,420.3,36.4,9.27,0.79,16/07/2021 08:47:41,-1,42.590,3.639,19,0,0,0.0,0.0
17,-1,1,13,2331.996296,0.269335,582.954380,0.411624,166.3,21.2,4.60,0.61,16/07/2021 08:47:41,-1,33.990,4.710,16,0,0,0.0,0.0
18,-1,1,13,2436.520650,0.199853,609.079928,0.404854,232.6,22.3,4.52,0.44,16/07/2021 08:47:41,-1,48.326,5.194,14,0,0,0.0,0.0
19,-1,1,13,2703.292280,0.038897,675.758697,0.391800,3575.1,61.9,5.07,0.07,16/07/2021 08:47:41,-1,661.836,14.210,12,0,0,0.0,0.0
20,-1,1,13,3645.080766,0.256827,911.155904,0.373848,164.8,18.3,5.01,0.58,16/07/2021 08:47:41,-1,30.913,4.021,8,0,0,0.0,0.0
21,-1,1,13,3874.970443,0.421112,968.616139,0.380604,147.7,19.7,7.01,0.97,16/07/2021 08:47:41,-1,19.803,2.872,7,0,0,0.0,0.0
23,-1,1,13,4351.069024,0.139612,1087.615551,0.366383,563.0,28.1,6.12,0.28,16/07/2021 08:47:41,-1,86.394,5.164,6,0,0,0.0,0.0
24,-1,1,13,4462.461210,0.263550,1115.457694,0.371190,207.6,19.3,6.17,0.52,16/07/2021 08:47:41,-1,31.619,3.376,6,0,0,0.0,0.0
25,-1,1,13,4481.656414,0.422280,1120.255477,0.380367,116.1,16.1,6.17,0.52,16/07/2021 08:47:41,-1,17.687,2.460,6,0,0,0.0,0.0
26,-1,1,13,5635.493565,0.900969,1408.653612,0.449971,31.0,10.3,5.83,2.06,16/07/2021 08:47:41,-1,5.000,1.585,2,0,0,0.0,0.0
27,-1,1,13,5844.079706,0.082108,1460.789092,0.397606,1903.5,44.9,7.76,0.15,16/07/2021 08:47:41,-1,230.292,6.704,1,0,0,0.0,0.0
28,-1,1,13,5981.702978,0.619713,1495.187616,0.431275,26.3,7.2,4.94,1.50,16/07/2021 08:47:41,-1,5.000,1.629,1,0,0,0.0,0.0
29,-1,1,13,6352.857070,0.950384,1587.956468,0.481523,39.2,10.7,7.37,2.07,16/07/2021 08:47:41,-1,5.000,1.398,1,0,0,0.0,0.0
30,-1,1,13,6922.612773,0.892966,1730.365196,0.500800,47.0,10.4,8.83,2.09,16/07/2021 08:47:41,-1,5.000,1.224,1,0,0,0.0,0.0
31,-1,1,13,7059.504962,0.395153,1764.580988,0.466657,148.6,15.3,8.43,0.82,16/07/2021 08:47:41,-1,16.562,2.045,1,0,0,0.0,0.0
